question_number,question_text,question_category,ground_truth_answer
F1.1,"What is the company's business model and primary revenue sources?","Business Model","MiniMax generates revenue through foundation model services including API access, cloud-based solutions, and enterprise licensing of its AI technologies."
F1.2,"What is the company's registration and incorporation details?","Corporate Information","MiniMax Technology Limited is incorporated in the Cayman Islands as an exempted company with limited liability."
F1.3,"Describe the company's flagship AI models and their capabilities.","Technology & Products","MiniMax develops foundation models for text, speech, vision and multimodal AI applications with focus on natural language processing and generation."
F2.1,"What are the company's primary business segments or service lines?","Business Operations","The company operates foundation model services, application layer products, and provides enterprise AI solutions to customers across various industries."
F2.2,"Who are the company's major shareholders and their ownership percentages?","Corporate Governance","The prospectus contains detailed shareholding structure including founder shares and institutional investors with specific ownership percentages."
F3.1,"What are the key risk factors mentioned in the offering documents?","Risk Management","Key risks include technology development risks, market competition, regulatory compliance, data security, and dependence on key personnel and partnerships."
F3.2,"What is the company's competitive landscape and market position?","Market Analysis","MiniMax operates in the competitive foundation model market globally, ranking among technology companies in the AI space based on model revenues."
F3.3,"Describe the company's research and development activities.","Innovation & R&D","The company invests significantly in R&D for foundation model development, training infrastructure, and AI algorithm improvements."
F4.1,"What is the use of proceeds from the global offering?","Financial Planning","Proceeds will be used for continued R&D, business expansion, working capital, and general corporate purposes as detailed in the prospectus."
F4.2,"What are the company's historical financial results and trends?","Financial Performance","The audited consolidated financial statements show revenue growth, operating metrics, and financial position over recent fiscal periods."
F5.1,"What corporate governance structure does the company have?","Corporate Governance","The company has a board of directors with various committees including audit committee and governance structures as outlined in the prospectus."
F5.2,"What are the terms and conditions of the global offering?","Offering Terms","The global offering includes details on share classes, pricing, allocation, underwriting arrangements, and listing information."
F6.1,"What regulatory approvals and compliance requirements apply?","Regulatory Compliance","The company operates under various regulatory frameworks including data protection, AI governance, and securities regulations across jurisdictions."
F6.2,"What intellectual property does the company own or license?","Intellectual Property","The company develops proprietary AI technologies, algorithms, models and may license certain technologies with IP protections in place."
F7.1,"What are the company's growth strategies and future plans?","Strategic Direction","Growth strategies include expanding model capabilities, entering new markets, building partnerships, and scaling infrastructure."
F7.2,"What industry trends and market drivers affect the business?","Industry Analysis","The industry report discusses AI market growth, foundation model adoption trends, enterprise demand, and technological advancement drivers."
